$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run --data-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_data --expect-device cuda --no-preflight
device=cuda  params=4,176,422  head=fmpe  run_dir=/dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run
step  18300/60000 | total 0.6758 | post 0.6342 | det 0.0416 | 5517 lc/s | wait 5% | eta 32m15s
step  18400/60000 | total 0.8154 | post 0.7893 | det 0.0261 | 5469 lc/s | wait 5% | eta 32m27s
step  18500/60000 | total 0.7969 | post 0.7554 | det 0.0415 | 5525 lc/s | wait 5% | eta 32m02s
step  18600/60000 | total 0.7032 | post 0.6946 | det 0.0086 | 5578 lc/s | wait 5% | eta 31m39s
step  18700/60000 | total 0.6407 | post 0.6299 | det 0.0108 | 5717 lc/s | wait 5% | eta 30m49s
step  18800/60000 | total 0.7202 | post 0.6745 | det 0.0457 | 5432 lc/s | wait 5% | eta 32m21s
step  18900/60000 | total 0.6752 | post 0.6404 | det 0.0347 | 5640 lc/s | wait 5% | eta 31m05s
step  19000/60000 | total 0.8118 | post 0.7624 | det 0.0494 | 5647 lc/s | wait 5% | eta 30m58s
step  19100/60000 | total 0.6975 | post 0.6556 | det 0.0419 | 5638 lc/s | wait 5% | eta 30m57s
step  19200/60000 | total 0.6944 | post 0.6776 | det 0.0168 | 5611 lc/s | wait 5% | eta 31m01s
step  19300/60000 | total 0.7110 | post 0.6695 | det 0.0414 | 5500 lc/s | wait 5% | eta 31m34s
step  19400/60000 | total 0.7030 | post 0.6345 | det 0.0685 | 6375 lc/s | wait 6% | eta 27m10s
step  19500/60000 | total 0.5993 | post 0.5809 | det 0.0184 | 6427 lc/s | wait 6% | eta 26m53s
step  19600/60000 | total 0.5907 | post 0.5612 | det 0.0295 | 6394 lc/s | wait 6% | eta 26m57s
step  19700/60000 | total 0.7392 | post 0.6910 | det 0.0482 | 6384 lc/s | wait 6% | eta 26m56s
step  19800/60000 | total 0.7127 | post 0.6718 | det 0.0409 | 6459 lc/s | wait 6% | eta 26m33s
step  19900/60000 | total 0.7093 | post 0.6826 | det 0.0267 | 6485 lc/s | wait 6% | eta 26m23s
  [val] post 0.7265 det 0.0804 acc 0.971 auc 0.995
step  20000/60000 | total 0.7257 | post 0.6806 | det 0.0451 | 306 lc/s | wait 0% | eta 9h17m29s
step  20100/60000 | total 0.6775 | post 0.6522 | det 0.0253 | 5590 lc/s | wait 5% | eta 30m27s
step  20200/60000 | total 0.6909 | post 0.6766 | det 0.0143 | 5537 lc/s | wait 5% | eta 30m39s
step  20300/60000 | total 0.7810 | post 0.7459 | det 0.0351 | 5758 lc/s | wait 5% | eta 29m24s
step  20400/60000 | total 0.7808 | post 0.7145 | det 0.0663 | 5522 lc/s | wait 5% | eta 30m35s
step  20500/60000 | total 0.6208 | post 0.6051 | det 0.0158 | 5453 lc/s | wait 5% | eta 30m54s
step  20600/60000 | total 0.6972 | post 0.6559 | det 0.0413 | 5592 lc/s | wait 5% | eta 30m03s
step  20700/60000 | total 0.6482 | post 0.6160 | det 0.0322 | 5690 lc/s | wait 5% | eta 29m28s
step  20800/60000 | total 0.7115 | post 0.6714 | det 0.0401 | 5688 lc/s | wait 5% | eta 29m24s
step  20900/60000 | total 0.7172 | post 0.7049 | det 0.0124 | 5716 lc/s | wait 5% | eta 29m11s
step  21000/60000 | total 0.6316 | post 0.6031 | det 0.0285 | 5550 lc/s | wait 5% | eta 29m58s
step  21100/60000 | total 0.7663 | post 0.6757 | det 0.0905 | 5659 lc/s | wait 5% | eta 29m19s
step  21200/60000 | total 0.6658 | post 0.6385 | det 0.0274 | 5423 lc/s | wait 5% | eta 30m31s
step  21300/60000 | total 0.7447 | post 0.7119 | det 0.0328 | 5580 lc/s | wait 5% | eta 29m35s
step  21400/60000 | total 0.8818 | post 0.8523 | det 0.0294 | 5465 lc/s | wait 5% | eta 30m08s
step  21500/60000 | total 0.6992 | post 0.6670 | det 0.0322 | 5680 lc/s | wait 5% | eta 28m55s
step  21600/60000 | total 0.6901 | post 0.6672 | det 0.0229 | 5701 lc/s | wait 5% | eta 28m44s
step  21700/60000 | total 0.7738 | post 0.7373 | det 0.0365 | 5620 lc/s | wait 5% | eta 29m04s
step  21800/60000 | total 0.7460 | post 0.7329 | det 0.0132 | 5490 lc/s | wait 5% | eta 29m41s
step  21900/60000 | total 0.7038 | post 0.6817 | det 0.0220 | 5514 lc/s | wait 5% | eta 29m28s
  [val] post 0.7714 det 0.0807 acc 0.969 auc 0.995
step  22000/60000 | total 0.6837 | post 0.6541 | det 0.0296 | 308 lc/s | wait 0% | eta 8h47m06s
step  22100/60000 | total 0.6036 | post 0.5885 | det 0.0151 | 5483 lc/s | wait 5% | eta 29m29s
step  22200/60000 | total 0.6502 | post 0.6268 | det 0.0234 | 5492 lc/s | wait 5% | eta 29m22s
step  22300/60000 | total 0.6140 | post 0.5571 | det 0.0568 | 5545 lc/s | wait 5% | eta 29m00s
step  22400/60000 | total 0.6040 | post 0.5913 | det 0.0127 | 5546 lc/s | wait 5% | eta 28m55s
step  22500/60000 | total 0.6885 | post 0.6480 | det 0.0405 | 5557 lc/s | wait 5% | eta 28m47s
step  22600/60000 | total 0.6176 | post 0.5850 | det 0.0326 | 5522 lc/s | wait 5% | eta 28m54s
