
== attempt 1784488607.786140 ==
$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run --data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/data --validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/posterior_validation --detection-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_train --detection-validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_validation --expect-device cuda --no-preflight --seed 0 --noise-lib /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/noise_splits/noise_validation.npz
device=cuda  params=4,176,422  head=fmpe  run_dir=/workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run
step  15200/60000 | total 0.9609 | post 0.7399 | det 0.2211 | 2157 lc/s | wait 5% | eta 1h28m37s
step  15300/60000 | total 1.0915 | post 0.8865 | det 0.2050 | 2115 lc/s | wait 5% | eta 1h30m11s
step  15400/60000 | total 1.0728 | post 0.9295 | det 0.1434 | 2119 lc/s | wait 5% | eta 1h29m47s
step  15500/60000 | total 1.0033 | post 0.8050 | det 0.1982 | 2159 lc/s | wait 5% | eta 1h27m56s
step  15600/60000 | total 1.2211 | post 1.0182 | det 0.2028 | 2185 lc/s | wait 5% | eta 1h26m42s
step  15700/60000 | total 1.0858 | post 0.9035 | det 0.1824 | 2177 lc/s | wait 5% | eta 1h26m49s
step  15800/60000 | total 1.2476 | post 1.0376 | det 0.2100 | 2166 lc/s | wait 5% | eta 1h27m04s
step  15900/60000 | total 1.1004 | post 0.8984 | det 0.2020 | 2170 lc/s | wait 5% | eta 1h26m41s
  [val] post 0.8450 det 0.5270 acc 0.840 auc 0.943
step  16000/60000 | total 1.0453 | post 0.8172 | det 0.2281 | 1990 lc/s | wait 4% | eta 1h34m19s
step  16100/60000 | total 0.9181 | post 0.7472 | det 0.1710 | 2179 lc/s | wait 5% | eta 1h25m57s
step  16200/60000 | total 1.0880 | post 0.9244 | det 0.1636 | 2197 lc/s | wait 5% | eta 1h25m04s
step  16300/60000 | total 1.1448 | post 0.9137 | det 0.2311 | 2191 lc/s | wait 5% | eta 1h25m04s
step  16400/60000 | total 1.1529 | post 0.9134 | det 0.2395 | 2195 lc/s | wait 5% | eta 1h24m44s
step  16500/60000 | total 0.9830 | post 0.7976 | det 0.1854 | 2194 lc/s | wait 5% | eta 1h24m36s
step  16600/60000 | total 1.1440 | post 0.9519 | det 0.1921 | 2192 lc/s | wait 5% | eta 1h24m27s
step  16700/60000 | total 0.9638 | post 0.7293 | det 0.2345 | 2196 lc/s | wait 5% | eta 1h24m07s
step  16800/60000 | total 1.0582 | post 0.8858 | det 0.1724 | 2200 lc/s | wait 5% | eta 1h23m46s
step  16900/60000 | total 1.1181 | post 0.9425 | det 0.1756 | 2199 lc/s | wait 5% | eta 1h23m37s
step  17000/60000 | total 0.9586 | post 0.7771 | det 0.1815 | 2195 lc/s | wait 5% | eta 1h23m35s
step  17100/60000 | total 0.9364 | post 0.7731 | det 0.1633 | 2187 lc/s | wait 5% | eta 1h23m40s
